N п/п из Перечня,Группа продукции,Структурный элемент или объект,Пункт/статья в ТР ТС,Пункт/раздел стандарта,Обозначение и наименование стандарта
724,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: стирол,пункт 7 статьи 4 ,,"МВИ. МН 1401-2000 ""Методика выполнения измерений концентраций стирола в водной и водно-спиртовых средах, имитирующих алкогольные напитки, методом газовой хроматографии"""
725,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: стирол,пункт 7 статьи 4 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
726,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: стирол,пункт 7 статьи 4 ,,"МУК 4.1.649-96 ""Методические указания по хромато-масс-спектрометрическому определению летучих органических веществ в воде"""
727,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: толуол,пункт 7 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
728,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: толуол,пункт 7 статьи 4 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
729,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: толуол,пункт 7 статьи 4 ,,"МУК 4.1.650-96 ""Методические указания по газохроматографическому определению ацетона, метанола, бензола, толуола, этилбензола, пентана, о-, м-, п-ксилола, гексана, октана и декана в воде"""
730,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: толуол,пункт 7 статьи 4 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
731,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: толуол,пункт 7 статьи 4 ,,"МУК 4.1.739-99 ""Хромато-масс-спектрометрическое определение бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде"""
732,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: толуол,пункт 7 статьи 4 ,,"МУК 4.1.649-96 ""Методические указания по хромато-масс-спектрометрическому определению летучих органических веществ в воде"""
733,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: толуол,пункт 7 статьи 4 ,,"МУК 4.1.651-96 ""Методические указания по газохроматографическому определению толуола в воде"""
734,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: толуол,пункт 7 статьи 4 ,,"Инструкция 4.1.10-14-91-2005 ""Газохроматографический метод определения остаточных мономеров и неполимеризующихся примесей, выделяющихся из полистирольных пластиков в воде, модельных средах и пищевых продуктах"""
735,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: толуол,пункт 7 статьи 4 ,,"Инструкция 4.1.11-11-13-2004 ""Методика выполнения измерений концентраций бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде методом хромато-масс-спектрометрии"""
736,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: фенол,пункт 7 статьи 4 ,,"МУК 4.1.1263-03 ""Измерение массовой концентрации фенолов общих и летучих флуориметрическим методом в пробах питьевой воды и воды поверхностных и подземных источников водопользования"""
737,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: фенол,пункт 7 статьи 4 ,,"МУК 4.1.647-96 ""Методические указания по газохроматографическому определению фенола в воде"""
738,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: фенол,пункт 7 статьи 4 ,,"МУК 4.1.752-99 ""Газохроматографическое определение фенола в воде"""
739,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: фенол,пункт 7 статьи 4 ,,"МУК 4.1.737-99 ""Хромато-масс-спектрометрическое определение фенолов в воде"""
740,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: фенол,пункт 7 статьи 4 ,,"РД 52.24.488-95 ""Методика выполнения измерений массовой концентрации определением суммы летучих фенолов в воде фотометрическим методом после отгонки с паром"""
741,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: фенол,пункт 7 статьи 4 ,,"РД 52.24.488-2022 ""Суммарная массовая концентрация летучих фенолов в водах. Методика измерений экстрационно-фотометрическим методом с 4-аминоантипирином после отгонки с водяным паром"" (свидетельство об аттестации 488.RA.RU.311345-2022 от 15.04.2022, номер в реестре ФР.1.31.2022.43113)"
742,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: фенол,пункт 7 статьи 4 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
743,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: фенол,пункт 7 статьи 4 ,,"МВИ. МН 1924-2003 ""Методика газохроматографического определения фенола и эпихлоргидрина в модельных средах, имитирующих пищевые продукты"" (свидетельство об аттестации N 290/2003 от 19.08.2003)"
744,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: формальдегид,пункт 7 статьи 4 ,,"ГОСТ Р 55227-2012 ""Вода. Методы определения содержания формальдегида"""
745,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: формальдегид,пункт 7 статьи 4 ,,"МУК 4.1.1265-03 ""Измерение массовой концентрации формальдегида флуориметрическим методом в пробах питьевой воды и воды поверхностных и подземных источников водопользования"""
746,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: формальдегид,пункт 7 статьи 4 ,,"МУК 4.1.753-99 ""Ионохроматографическое определение формальдегида в воде"""
747,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: формальдегид,пункт 7 статьи 4 ,,"ПНД Ф 14.2:4.187-02 ""Методика выполнения измерений массовой концентрации формальдегида в пробах природных, питьевых и сточных вод на анализаторе жидкости ""Флюорат-02"""
748,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: формальдегид,пункт 7 статьи 4 ,,"ПНД Ф 14.1:2:4.120-96 ""Количественный химический анализ вод. Методика выполнения измерений массовых концентраций формальдегида в пробах природной, питьевой и сточной воды на анализаторе ""Флюорат-02"""
749,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: формальдегид,пункт 7 статьи 4 ,,"ПНДФ 14.1:2:4.267-2012 ""Количественный химический анализ вод. Методика измерений массовой концентрации формальдегида в пробах питьевых (в том числе расфасованных в емкости), природных и сточных вод методом высокоэффективной жидкостной хроматографии с фотометрическим детектированием с использованием жидкостного хроматографа ""Люмахром"" (свидетельство об аттестации N 222.0006/01.00258/2012 от 16.03.2012; номер в реестре ФР.1.31.2012.12307)"
750,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: формальдегид,пункт 7 статьи 4 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
751,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: формальдегид,пункт 7 статьи 4 ,,"Сб. ""Методические указания по определению вредных веществ в объектах окружающей среды"". Вып. 1. Мн. 1993 г. (МУ N 75, МУ N 266)"
752,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: хлорбензол,пункт 7 статьи 4 ,,"МВИ.МН 6309-2020 ""Массовая концентрация хлорбензола, выделяемого из изделий из поликарбоната, в водных и воздушных средах. Методика выполнения измерений методом газовой хроматографии"" (свидетельство об аттестации N BY 00120 от 29.10.2020)"
753,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: хлорбензол,пункт 7 статьи 4 ,,"МУК 4.1.739-99 ""Хромато-масс-спектрометрическое определение бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде"""
754,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: хлорбензол,пункт 7 статьи 4 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
755,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: хлорбензол,пункт 7 статьи 4 ,,"Инструкция 4.1.11-11-13-2004 ""Методика выполнения измерений концентраций бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде методом хромато-масс-сггектрометрии"""
756,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: этилацетат,пункт 7 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
757,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: этилацетат,пункт 7 статьи 4 ,,"МУ 4149-86 ""Методические указания по осуществлению государственного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
758,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: этилацетат,пункт 7 статьи 4 ,,"Инструкция 4.1.10-15-90-2005 ""Осуществление государственного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
759,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: этиленгликоль,пункт 7 статьи 4 ,,"Инструкция N 880-71 ""Инструкция по санитарно-химическому исследованию изделий, изготовленных из полимерных и других синтетических материалов, предназначенных для контакта с пищевыми продуктами"""
760,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: этиленгликоль,пункт 7 статьи 4 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
761,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: эпихлоргидрин,пункт 7 статьи 4 ,,"Инструкция N 4259-87 ""Инструкция по санитарно-химическому исследованию изделий, изготовленных из полимерных и других синтетических материалов, предназначенных для использования в хозяйственно-питьевом водоснабжении и водном хозяйстве"""
762,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: эпихлоргидрин,пункт 7 статьи 4 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
763,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",выделение вредных для здоровья химических веществ: эпихлоргидрин,пункт 7 статьи 4 ,,"МВИ. МН 1924-2003 ""Методика газохроматографического определения фенола и эпихлоргидрина в модельных средах, имитирующих пищевые продукты"""
764,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",токсикологические и клинические показатели,пункт 7 статьи 4 ,,"ГОСТ ISO 10993-10-2011 ""Изделия медицинские. Оценка биологического действия медицинских изделий. Часть 10. Исследования раздражающего и сенсибилизирующего действия"""
765,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",токсикологические и клинические показатели,пункт 7 статьи 4 ,,"МУ 2102-79 ""Оценка воздействия вредных химических соединений на кожные покровы и обоснование предельно допустимых уровней загрязнений кожи"", утв. МЗ СССР от 01.11.79"
766,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",токсикологические и клинические показатели,пункт 7 статьи 4 ,,"МУ 1.1.037-95 ""Биотестирование продукции из полимерных и других материалов"""
767,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",токсикологические и клинические показатели,пункт 7 статьи 4 ,,"Инструкция 1.1.11-12-35-2004 ""Требования к постановке экспериментальных исследований для первичной токсикологической оценки и гигиенической регламентации веществ, утв. Постановлением Главного государственного санитарного врача Республики Беларусь от 14.12.2004 N 131"""
768,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",токсикологические и клинические показатели,пункт 7 статьи 4 ,,"ГОСТ 32893-2014 ""Продукция парфюмерно-косметическая. Методы оценки токсикологических и клинико-лабораторных показателей безопасности"""
769,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",токсикологические и клинические показатели,пункт 7 статьи 4 ,,"ГОСТ 33506-2015 ""Продукция парфюмерно-косметическая. Методы определения оценки токсикологических показателей безопасности"""
770,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",прочность крепления кустов щеток,пункт 7 статьи 4 ,пункт 3.1 ,"ГОСТ 28637-90 ""Изделия щетинно-щеточные. Методы контроля"""
771,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",прочность колодки и изделия в месте наименьшего сечения,пункт 7 статьи 4 ,пункт 3.3 ,"ГОСТ 28637-90 ""Изделия щетинно-щеточные. Методы контроля"""
772,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",жесткость рабочей части,пункт 7 статьи 4 ,Приложение 3,"ГОСТ 6388-91 (ИСО 8627-87) ""Щетки зубные. Общие технические условия"""
773,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",жесткость рабочей части,пункт 7 статьи 4 ,пункт 8.3 ,"ГОСТ 6388-2003 ""Щетки зубные. Общие технические условия"""
774,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",жесткость рабочей части,пункт 7 статьи 4 ,пункт 7.3 ,"ГОСТ 6388-2022 ""Щетки зубные. Общие технические условия"""
775,"Щетки зубные, массажеры для десен и аналогичные изделия, предназначенные для ухода за полостью рта",контроль качества обработки рабочей части зубной щетки,пункт 7 статьи 4 ,пункт 4.3 ,"ГОСТ 28637-90 ""Изделия щетинно-щеточные. Методы контроля"""
776,Изделия санитарно-гигиенические разового использования,отбор проб,пункт 8 статьи 4 ,пункт 6.4 ,"ГОСТ Р 52557-2011 ""Подгузники детские бумажные. Общие технические условия"""
777,Изделия санитарно-гигиенические разового использования,отбор проб,пункт 8 статьи 4 ,пункт 5.3 ,"ГОСТ Р 52557-2020 ""Подгузники детские. Общие технические условия"""
778,Изделия санитарно-гигиенические разового использования,отбор проб,пункт 8 статьи 4 ,,"СанПиН 1.1.12-14-2003 ""Гигиенические требования к безопасности средств личной гигиены"""
779,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ ISO 16212-2020 ""Продукция парфюмерно-косметическая. Микробиология. Подсчет дрожжей и плесневых грибов"""
780,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ ISO 18415-2020 ""Продукция парфюмерно-косметическая. Микробиология. Обнаружение специфических и неспецифических микроорганизмов"""
781,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ ISO 18416-2018 ""Продукция парфюмерно-косметическая. Микробиология. Обнаружение Candida albicans"""
782,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ ISO 21148-2020 ""Продукция парфюмерно-косметическая. Микробиология. Общие требования к микробиологическому контролю"""
783,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ ISO 21149-2020 ""Продукция парфюмерно-косметическая. Микробиология. Подсчет и обнаружение мезофильных аэробных бактерий"""
784,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ ISO 21150-2018 ""Продукция парфюмерно-косметическая. Микробиология. Обнаружение Escherichia coli"""
785,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ ISO 22717-2018 ""Продукция парфюмерно-косметическая. Микробиология. Обнаружение Pseudomonas aeruginosa"""
786,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ ISO 22718-2018 ""Продукция парфюмерно-косметическая. Микробиология. Обнаружение Staphylococcus aureus"""
787,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ 32064-2013 ""Продукты пищевые. Методы выявления и определения количества бактерий семейства Enterobacteriaceae"""
788,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ 31708-2012 (ISO 7251:2005) ""Микробиология пищевых продуктов и кормов. Метод обнаружения и определения количества презумптивных бактерий Escherichia coli. Метод наиболее вероятного числа"""
789,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ 10444.15-94 ""Продукты пищевые. Методы определения количества мезофильных, аэробных и факультативно-анаэробных микроорганизмов"""
790,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ 26670-91 ""Продукты пищевые. Методы культивирования микроорганизмов"""
791,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ Р ИСО 7218-2008 ""Микробиология. Общее руководство по микробиологическим исследованиям"""
792,Изделия санитарно-гигиенические разового использования,требования микробиологической и биологической безопасности,пункт 8 статьи 4 ,,"ГОСТ ISO 7218-2015 ""Микробиология пищевых продуктов и кормов для животных. Общие требования и рекомендации по микробиологическим исследованиям"""
793,Изделия санитарно-гигиенические разового использования,сенсибилизирующее действие,пункт 8 статьи 4 ,,"МУК 4.1/4.3.1485-03 ""Гигиеническая оценка одежды для детей, подростков и взрослых. Методы контроля. Химические факторы. Физические факторы"""
794,Изделия санитарно-гигиенические разового использования,сенсибилизирующее действие,пункт 8 статьи 4 ,,"Инструкция 1.1.11-12-35-2004 ""Требования к постановке экспериментальных исследований для первичной токсикологической оценки и гигиенической регламентации веществ"", утв. Постановлением Главного государственного санитарного врача Республики Беларусь от 14.12.2004 N 131"
795,Изделия санитарно-гигиенические разового использования,сенсибилизирующее действие,пункт 8 статьи 4 ,,"ГОСТ ISO 10993-10-2011 ""Изделия медицинские. Оценка биологического действия медицинских изделий. Часть 10. Исследования раздражающего и сенсибилизирующего действия"""
796,Изделия санитарно-гигиенические разового использования,сенсибилизирующее действие,пункт 8 статьи 4 ,,"ГОСТ 32893-2014 ""Продукция парфюмерно-косметическая. Методы оценки токсикологических и клинико-лабораторных показателей безопасности"""
797,Изделия санитарно-гигиенические разового использования,сенсибилизирующее действие,пункт 8 статьи 4 ,,"ГОСТ 33483 ""Продукция парфюмерно-косметическая. Методы определения и оценки клинико-лабораторных показателей безопасности"""
798,Изделия санитарно-гигиенические разового использования,"выделение вредных для здоровья химических веществ: цинк, мышьяк, хром, свинец",пункт 8 статьи 4 ,,"ГОСТ 31870-2012 ""Вода питьевая. Определение содержания элементов методами атомной спектрометрии"""
799,Изделия санитарно-гигиенические разового использования,"выделение вредных для здоровья химических веществ: цинк, мышьяк, хром, свинец",пункт 8 статьи 4 ,,"ГОСТ 4152-89 ""Вода питьевая. Метод определения массовой концентрации мышьяка"""
800,Изделия санитарно-гигиенические разового использования,"выделение вредных для здоровья химических веществ: цинк, мышьяк, хром, свинец",пункт 8 статьи 4 ,,"ГОСТ 22001-87 ""Реактивы и особо чистые вещества. Метод атомно-абсорбционной спектрометрии определения примесей химических элементов"""
801,Изделия санитарно-гигиенические разового использования,"выделение вредных для здоровья химических веществ: цинк, мышьяк, хром, свинец",пункт 8 статьи 4 ,,"ГОСТ 31956-2012 ""Вода. Методы определения содержания хрома (VI) и общего хрома"""
802,Изделия санитарно-гигиенические разового использования,"выделение вредных для здоровья химических веществ: цинк, мышьяк, хром, свинец",пункт 8 статьи 4 ,,"ГОСТ 33537-2015 (ISO 8288:1986) ""Качество воды. Определение содержания кобальта, никеля, меди, цинка, кадмия и свинца. Методы пламенной атомно-абсорбционной спектрометрии"""
